userid,softwaredevelopment,frontenddev,backenddev,fullstack,mobiledevelopment,webapplicationdevelopment,degreeid
347,sd0,fe0,be0,fs0,md1,wd1,DID02
348,sd1,fe0,be0,fs0,md1,wd1,DID02
349,sd0,fe0,be0,fs0,md0,wd0,DID02
350,sd1,fe0,be0,fs0,md0,wd0,DID02
351,sd1,fe0,be0,fs0,md1,wd0,DID02
352,sd0,fe0,be0,fs0,md1,wd0,DID02
353,sd1,fe0,be0,fs0,md1,wd0,DID02
354,sd0,fe0,be0,fs0,md1,wd0,DID02
355,sd1,fe0,be0,fs0,md1,wd0,DID02
356,sd1,fe0,be0,fs0,md1,wd0,DID02
357,sd0,fe0,be0,fs0,md1,wd0,DID02
358,sd0,fe0,be0,fs0,md1,wd0,DID02
359,sd1,fe0,be0,fs0,md1,wd0,DID02
360,sd0,fe0,be0,fs0,md1,wd0,DID02
361,sd1,fe0,be0,fs0,md1,wd0,DID02
362,sd1,fe0,be0,fs0,md1,wd0,DID02
363,sd1,fe0,be0,fs0,md1,wd0,DID02
364,sd0,fe0,be0,fs0,md1,wd0,DID02
365,sd1,fe0,be0,fs0,md1,wd0,DID02
366,sd0,fe0,be0,fs0,md1,wd0,DID02
367,sd1,fe0,be0,fs0,md1,wd0,DID02
368,sd0,fe0,be0,fs0,md1,wd0,DID02
369,sd1,fe0,be0,fs0,md1,wd0,DID02
370,sd0,fe0,be0,fs0,md0,wd0,DID02
371,sd0,fe0,be0,fs0,md0,wd0,DID02
372,sd0,fe0,be0,fs0,md0,wd0,DID02
373,sd0,fe0,be0,fs0,md0,wd0,DID02
374,sd0,fe0,be0,fs0,md0,wd0,DID03
375,sd0,fe0,be0,fs0,md0,wd0,DID03
376,sd0,fe0,be0,fs0,md0,wd0,DID03
377,sd0,fe0,be0,fs0,md0,wd0,DID03
378,sd0,fe0,be0,fs0,md0,wd0,DID03
379,sd0,fe0,be0,fs0,md0,wd0,DID03
380,sd0,fe0,be0,fs0,md0,wd0,DID03
381,sd0,fe0,be0,fs0,md0,wd0,DID03
382,sd0,fe0,be0,fs0,md0,wd0,DID03
383,sd0,fe0,be0,fs0,md0,wd0,DID03
384,sd0,fe0,be0,fs0,md0,wd0,DID03
385,sd0,fe0,be0,fs0,md0,wd0,DID01
386,sd0,fe0,be0,fs0,md0,wd0,DID01
387,sd0,fe0,be0,fs0,md0,wd0,DID03
388,sd0,fe0,be0,fs0,md0,wd0,DID01
389,sd0,fe0,be0,fs0,md0,wd0,DID03
390,sd0,fe0,be0,fs0,md0,wd0,DID03
391,sd0,fe0,be0,fs0,md0,wd0,DID03
392,sd0,fe0,be0,fs0,md0,wd0,DID03
393,sd0,fe0,be0,fs0,md0,wd0,DID03
394,sd0,fe0,be0,fs0,md0,wd0,DID01
395,sd0,fe0,be0,fs0,md0,wd0,DID03
396,sd0,fe0,be0,fs0,md0,wd0,DID01
397,sd0,fe0,be0,fs0,md0,wd0,DID03
398,sd0,fe0,be0,fs0,md0,wd0,DID03
399,sd0,fe0,be0,fs0,md0,wd0,DID01
400,sd0,fe0,be0,fs0,md0,wd0,DID01
401,sd0,fe0,be0,fs0,md0,wd0,DID01
402,sd0,fe0,be0,fs0,md0,wd0,DID03
403,sd0,fe0,be0,fs0,md0,wd0,DID03
404,sd0,fe0,be0,fs0,md0,wd0,DID01
405,sd0,fe0,be0,fs0,md0,wd0,DID03
406,sd0,fe0,be0,fs0,md0,wd0,DID03
407,sd0,fe0,be0,fs0,md0,wd0,DID01
408,sd0,fe0,be0,fs0,md0,wd0,DID03
409,sd0,fe0,be0,fs0,md0,wd0,DID01
410,sd0,fe0,be0,fs0,md0,wd0,DID03
411,sd0,fe0,be0,fs0,md0,wd0,DID01
412,sd0,fe0,be0,fs0,md0,wd0,DID03
413,sd0,fe0,be0,fs0,md0,wd0,DID03
414,sd0,fe0,be0,fs1,md0,wd0,DID01
415,sd0,fe0,be0,fs0,md0,wd0,DID03
416,sd0,fe0,be0,fs0,md0,wd0,DID03
417,sd0,fe0,be0,fs0,md0,wd0,DID01
418,sd0,fe0,be0,fs0,md0,wd0,DID01
419,sd0,fe0,be0,fs0,md0,wd0,DID01
420,sd0,fe0,be0,fs0,md0,wd0,DID03
421,sd0,fe0,be0,fs1,md0,wd0,DID01
422,sd1,fe0,be0,fs1,md0,wd0,DID02
423,sd0,fe0,be0,fs1,md0,wd0,DID02
424,sd1,fe0,be0,fs1,md0,wd0,DID02
425,sd0,fe0,be0,fs1,md0,wd0,DID01
426,sd1,fe0,be0,fs0,md0,wd0,DID01
427,sd0,fe0,be0,fs0,md0,wd0,DID02
428,sd0,fe0,be0,fs0,md0,wd0,DID01
429,sd1,fe0,be0,fs0,md0,wd0,DID02
430,sd1,fe0,be0,fs0,md0,wd0,DID02
431,sd0,fe0,be0,fs0,md1,wd0,DID02
432,sd0,fe0,be0,fs0,md1,wd0,DID02
433,sd1,fe0,be0,fs0,md1,wd0,DID02
434,sd1,fe0,be0,fs0,md1,wd0,DID02
435,sd1,fe0,be0,fs0,md1,wd0,DID02
436,sd0,fe0,be0,fs0,md1,wd0,DID01
437,sd0,fe0,be0,fs0,md0,wd0,DID02
438,sd0,fe0,be0,fs0,md0,wd0,DID02
439,sd1,fe0,be0,fs0,md0,wd0,DID02
440,sd0,fe0,be0,fs0,md0,wd0,DID01
441,sd1,fe0,be0,fs0,md0,wd0,DID01
442,sd0,fe0,be0,fs0,md0,wd0,DID02
443,sd0,fe0,be0,fs0,md0,wd0,DID02
444,sd1,fe0,be0,fs0,md0,wd0,DID02
445,sd0,fe0,be0,fs0,md0,wd0,DID02
446,sd0,fe0,be0,fs0,md0,wd0,DID02
447,sd1,fe0,be0,fs0,md0,wd0,DID01
448,sd0,fe0,be0,fs0,md0,wd0,DID01
449,sd1,fe0,be0,fs0,md0,wd0,DID01
450,sd0,fe0,be0,fs0,md0,wd0,DID02
451,sd0,fe0,be0,fs0,md0,wd0,DID01
452,sd0,fe0,be0,fs0,md0,wd0,DID02
453,sd0,fe0,be0,fs0,md0,wd0,DID01
454,sd0,fe0,be0,fs0,md0,wd0,DID02
455,sd0,fe0,be0,fs0,md0,wd0,DID01
456,sd0,fe0,be0,fs0,md0,wd0,DID02
457,sd0,fe0,be0,fs0,md0,wd0,DID01
458,sd0,fe0,be0,fs0,md0,wd0,DID02
459,sd0,fe0,be0,fs0,md0,wd0,DID02
460,sd0,fe0,be0,fs0,md0,wd0,DID01
461,sd0,fe0,be0,fs0,md1,wd0,DID01
462,sd1,fe0,be0,fs0,md1,wd0,DID02
463,sd0,fe0,be0,fs0,md1,wd0,DID02
